school,name,fullname,lat,lon,metroTotal,otherTotal,miami
uTennState,Tennessee State,Tennessee State University,36.166822,-86.827582,87.42,12.58,0.737
uTennTech,Tennessee Tech,Tennessee Technological University,36.175903,-85.507022,51.93,48.07,0.453
uTexasAMCC,Texas A&M Corpus Christi,Texas A & M University-Corpus Christi,27.712745,-97.324143,50.5,49.5,0.288
uTexas Southern,Texas Southern,Texas Southern University,29.721763,-95.360612,94.03,5.97,0.417
uTexasState,Texas State,Texas State University,29.888411,-97.938351,89.04,10.96,0.264
uTowson,Towson,Towson University,39.392512,-76.612639,90.6,9.4,0.828
uTroy,Troy,Troy University,31.80189,-85.957228,42.43,57.57,0.832
uAirForce,Air Force,United States Air Force Academy,38.998309,-104.861318,64.08,35.92,1.063
uArmy,Army,United States Military Academy,41.391837,-73.962503,69.06,30.94,1.097
uNavy,Navy,United States Naval Academy,38.982066,-76.483941,75.02,24.98,1.192
uAkron ,Akron ,University of Akron ,41.076655,-81.511339,56.97,43.03,0.685
uALR,Arkansas at Little Rock,University of Arkansas at Little Rock,34.724057,-92.338887,80.96,19.04,0.914
uAPB,Arkansas at Pine Bluff,University of Arkansas at Pine Bluff,34.246872,-92.021339,68.81,31.19,0.274
uCentralArkansas,Central Arkansas,University of Central Arkansas,35.078091,-92.457938,73.21,26.79,0.57
uDayton,Dayton,University of Dayton,39.7393,-84.179967,65.11,34.89,0.671
uDenver,Denver,University of Denver,39.676617,-104.961896,83.92,16.08,0.784
uDetroit,Detroit,University of Detroit Mercy,42.414062,-83.137903,86.57,13.43,0.845
uEvansville,Evansville,University of Evansville,37.973411,-87.532172,49.6,50.4,0.578
uHartford,Hartford,University of Hartford,41.798599,-72.714,82.69,17.31,2.056
uIdaho,Idaho,University of Idaho,46.728812,-117.012608,53.98,46.02,0.257
uLouisianaLafayette,Louisiana Lafayette,University of Louisiana at Lafayette,30.21144,-92.020412,34.23,65.77,0.527
uLouisianaMonroe,Louisiana Monroe,University of Louisiana at Monroe,32.5093,-92.1193,35.48,64.52,0.385
uMaine,Maine,University of Maine,44.90122,-68.666651,56.73,43.27,0.827
uMES,Maryland Eastern Shore,University of Maryland Eastern Shore,38.210217,-75.6848,79.15,20.85,0.539
uMBC,UMBC,University of Maryland-Baltimore County,39.255613,-76.710975,90.9,9.1,0.584
uMassLowell,UMass-Lowell,University of Massachusetts-Lowell,42.650057,-71.324047,86.15,13.85,0.63
uMemphis,Memphis,University of Memphis,35.118741,-89.937141,85.41,14.59,0.637
uMKC,UMKC,University of Missouri-Kansas City,39.033554,-94.576026,86.43,13.57,0.455
uMontana,Montana,University of Montana,46.860067,-113.985208,44.92,55.08,0.352
